Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating
4,5,1,5,3,1,1,0,0,1,0,0.0,63.3,63.3,1,0.75,0,0.0,0
1,7,1,1,2,1,1,3,2,5,0,0.0,61.7,61.7,1,2.32,0,4.1,1
4,5,2,2,1,3,4,1,0,4,1,0.0,59.7,59.7,2,-0.5362702309839602,0,0.0,0
1,7,1,1,0,1,1,0,0,2,0,0.0,56.7,56.7,7,3.5,1,5.18,1
1,7,3,1,0,1,1,0,0,4,2,0.0,48.7,48.7,7,3.541416566626651,1,10.0,2
1,7,1,1,3,1,1,3,0,1,0,0.0,48.0,48.0,4,4.32,1,0.0,0
2,3,3,1,2,1,3,0,0,2,0,0.0,47.0,47.0,7,3.394537246912535,0,0.0,0
4,5,3,5,2,1,1,0,0,4,3,0.0,46.7,46.7,5,3.18,0,4.33,1
4,5,3,5,3,1,1,0,0,4,0,0.0,46.0,46.0,9,2.424969987995197,0,4.767645230789886,1
3,5,3,4,0,3,4,0,0,4,2,0.0,42.3,42.3,1,4.14,1,4.17,1
1,7,1,1,0,1,1,0,0,1,0,0.0,40.3,40.3,1,2.69,0,5.87,1
4,6,0,5,0,1,1,0,2,4,0,0.0,33.0,33.0,11,4.27,1,10.0,2
1,1,1,1,0,1,1,0,2,1,0,0.0,32.7,32.7,1,2.69,0,4.24,1
3,6,0,4,0,3,2,0,2,3,3,0.0,31.7,31.7,12,1.38,0,10.0,2
4,6,3,0,1,1,4,0,2,4,0,0.0,31.3,31.3,9,2.364945978391357,0,5.185217070105473,1
3,6,3,4,0,3,3,0,2,4,0,0.0,31.0,31.0,1,10.0,2,10.0,2
1,1,0,1,0,1,1,0,2,4,0,0.0,30.7,30.7,7,3.14,0,10.0,2
1,1,1,1,2,1,4,0,2,5,0,0.0,28.7,28.7,6,2.25,0,4.26,1
4,6,3,5,0,1,4,0,2,3,3,0.0,27.3,27.3,6,2.31,0,0.0,2
1,1,1,1,2,1,4,0,2,1,0,0.0,25.0,25.0,6,3.68,1,0.0,0
4,6,1,0,0,1,4,0,2,5,0,0.0,24.0,24.0,7,3.50558166467964,1,4.217253058145084,1
1,1,3,1,0,1,4,0,2,4,2,0.0,23.3,23.3,7,3.14,0,4.11,1
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,3.14,0,4.97,1
1,1,0,1,2,1,4,0,2,4,0,0.0,21.3,21.3,6,2.11,0,4.17,1
4,6,1,5,0,1,1,0,1,5,0,0.0,21.0,21.0,1,1.12,0,4.62,1
3,6,3,4,0,3,4,0,1,4,0,0.0,18.3,18.3,12,1.41,0,4.21,1
4,6,2,2,1,0,1,1,2,4,1,0.0,18.0,18.0,2,2.845138055222089,0,4.559337082115291,1
1,1,2,2,1,1,1,1,2,4,1,0.0,17.7,17.7,2,2.436974789915967,0,0.0,0
4,6,0,5,2,1,4,0,1,4,0,0.0,17.3,17.3,7,4.41,1,4.18,1
4,6,1,5,2,0,4,0,1,4,0,0.0,17.0,17.0,6,4.25,1,0.0,0
4,6,3,0,2,1,1,0,1,5,0,0.0,16.7,16.7,1,3.549448393815356,1,4.344101254184316,1
3,6,0,4,2,0,1,0,1,4,3,0.0,16.7,16.7,5,3.3,0,4.25,1
1,1,3,1,0,1,1,0,1,5,0,0.0,15.7,15.7,8,3.5,1,4.56,1
1,1,1,1,2,1,1,0,1,1,0,0.0,15.0,15.0,4,3.15,0,4.95,1
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,0.12,0,5.17,1
3,6,0,4,0,3,3,0,1,4,0,0.0,12.7,12.7,8,10.0,2,0.0,0
3,6,0,6,2,0,3,0,1,4,0,0.0,12.3,12.3,12,4.477791116446578,1,0.0,0
