OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,PR,PR_Benefit
4,6,6,1,3,0,4,4,3,1,7,5,1,3,4,0.01,0,4,4,2,2,2,1,4,1933,0,0,0,0,0,0,2,4,3,0,0,0,1,0,1,6,2,64,4,5,2,4,1,1,2,1,2,2,3,2,3,2,4,2,4,1,3,2,2,3,5,1,4,4,3,2,1,1,1,2,1,1,1,3,0,1,3,1,4,1,2,5,2,4,3,2,6,1,7,0,2,7.22,670,1,0,0,0,0,0,4.895,7.314
5,5,6,6,3,2,4,1,1,3,4,1,3,2,1,0.005,0,4,4,2,2,3,2,3,2024,2,0,0,0,0,0,3,3,3,0,4,0,2,0,1,1,2,85,4,1,0,0,0,2,2,1,2,2,4,1,2,2,1,3,2,4,5,4,2,2,3,1,3,5,3,1,1,0,0,2,1,4,0,0,0,1,3,2,4,2,3,2,6,4,1,1,6,1,7,0,2,6.785,457.5,1,0.333333333,0.333333333,0,0,0,10,7.199
2,5,7,1,3,0,4,5,3,5,7,6,4,5,4,0.4,0,4,4,2,1,3,1,4,1916,0,0,0,0,0,0,2,4,0,1,0,1,0,1,1,5,0,128,4,4,2,4,1,1,2,1,1,1,2,2,2,2,1,3,4,2,3,2,2,2,5,1,3,2,2,1,1,1,1,0,0,5,0,0,1,3,3,1,5,0,0,5,2,4,1,0,6,1,7,0,1,6.35,245,1,0.666666667,0,0,0,0,10,1.056
1,5,6,3,1,0,4,5,3,6,7,3,3,1,2,0.03,0,4,4,1,1,3,2,6,2026,2,0,0,0,0,0,2,2,4,1,0,2,0,2,0,5,1,128,4,4,3,1,1,1,2,4,1,1,3,2,2,3,3,3,2,5,1,1,1,1,1,0,0,5,2,1,0,0,0,0,0,1,2,3,0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,5.825,204.2,0.5,1,0.333333333,0,0,0,7.393,1.642
1,5,6,7,2,1,3,4,2,5,5,6,3,3,3,0.1345,0,4,4,1,1,3,2,4,2009,0,0,0,0,0,0,4,4,3,1,1,1,2,0,2,3,2,76,4,4,2,2,2,1,2,1,2,2,2,2,3,2,2,3,3,2,2,2,3,3,5,1,5,3,2,3,1,0,1,0,1,2,1,2,0,1,3,1,5,0,0,5,1,4,1,1,1,1,7,0,1,5.3,163.4,0,0.875,0,0,0,0,5.58,6.555
2,4,5,7,2,0,3,4,3,5,2,2,3,1,2,0.07,0,4,4,3,0,2,1,4,2188,2,0,0,0,0,0,3,3,4,1,2,0,5,0,2,2,2,80,3,2,1,1,1,1,5,2,1,2,3,1,3,3,1,4,2,2,2,2,1,1,5,1,5,5,2,3,0,0,0,0,1,1,2,3,0,2,3,1,3,2,2,5,1,4,1,1,5,1,7,0,2,6.37,122.6,0,0.75,0.5,0,0,0,4.316,6.855
5,5,5,2,3,0,3,4,2,5,6,2,1,5,4,0.03,0,4,4,2,1,3,1,4,1893,2,0,1,0,0,0,4,4,0,0,0,0,2,1,2,4,1,64,1,4,1,3,1,3,2,1,1,1,1,1,1,1,2,2,4,3,4,2,2,2,4,1,4,2,2,2,1,0,0,2,1,1,1,2,0,1,1,2,5,0,0,5,1,4,2,2,5,1,7,0,1,6.22,81.8,0,0.625,0.5,0,0,0,5.423,7.197
4,5,7,1,3,0,4,5,3,4,3,4,6,4,4,0.51,0,4,4,2,1,3,3,3,1624,2,0,0,0,0,0,2,2,4,0,0,0,0,0,4,2,1,0,4,3,1,2,2,1,2,4,2,2,3,1,1,1,3,2,3,2,2,2,3,2,5,1,3,1,1,2,1,0,0,2,0,2,1,4,0,1,3,1,5,0,0,5,1,3,1,0,6,1,7,0,2,6.07,41,0,0.5,0,0,0,0,5.821,0.964
4,5,7,1,3,0,4,3,1,5,4,2,3,3,4,0.56,0,4,4,1,3,3,2,3,2254,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2,5,2,0,3,4,1,3,1,1,2,1,2,1,1,1,1,1,2,1,4,2,4,2,3,2,4,1,4,4,1,3,1,0,1,1,1,1,1,3,0,1,3,1,4,2,2,5,1,4,3,0,6,1,7,0,2,5.495,58.75,1,0.375,0.333333333,0,0,0,5.104,7.16
4,5,4,6,0,0,2,4,3,4,6,3,3,2,2,0.25,0,4,4,2,3,3,3,6,2141,0,0,0,0,0,0,3,2,4,0,0,3,0,3,2,3,3,224,2,4,3,3,1,1,2,4,2,2,1,2,3,3,3,1,4,2,1,1,2,2,5,1,5,3,1,1,1,0,0,1,0,1,2,0,0,3,3,1,3,2,1,5,1,4,3,1,6,1,7,0,0,4.92,76.5,0,0.25,0.666666667,0,0,0,7.2,2.083
4,5,7,1,1,1,4,4,3,4,4,4,3,4,1,0.005,0,4,4,1,1,3,3,4,2109,2,0,0,0.25,0,0,4,3,4,0,1,0,4,0,2,3,1,80,3,3,1,2,1,1,5,2,2,2,4,1,2,3,2,3,4,2,5,2,2,3,1,0,0,0,0,0,0,0,0,0,1,1,2,5,0,1,3,2,5,0,0,4,6,4,1,0,6,1,7,0,2,4.345,94.25,0,0.125,0,0,0,0,4.815,6.662
2,5,7,1,3,0,5,5,3,4,6,4,6,5,4,0.8,0,4,4,3,1,3,0,3,1363,0,0,0,0.5,0,0,2,1,3,1,0,2,0,2,2,3,3,192,2,3,1,1,1,1,1,5,1,2,1,1,1,1,3,2,1,4,5,2,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0,0,3.77,112,0,0,0,0,0,0,10,0.444
4,4,4,7,2,3,4,2,2,5,3,6,4,1,3,0.37,0,4,4,3,2,2,1,4,2122,2,0,0,0.75,0,0,3,3,4,2,1,1,5,0,2,2,1,88,3,3,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0,2,6.67,108.3076923,0,0.0625,0.5,0,0,0,5.581,6.636
5,6,6,6,3,0,4,4,3,5,3,3,3,5,4,0.26,0,4,4,2,1,3,3,6,2314,0,0,2,1,0,0,4,1,0,0,0,1,0,2,2,2,2,0,4,5,0,0,0,1,1,4,1,1,1,1,1,1,3,1,2,5,1,1,3,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,6.518333333,104.6153846,0,0.125,0.333333333,0,0,0,10,1.172
3,4,5,4,0,0,3,3,3,4,3,4,3,5,4,0.2,0,4,4,2,1,3,3,6,2082,0,0,2,0,0,0,4,1,0,2,0,2,2,0,3,1,2,160,1,1,0,0,0,1,1,5,1,2,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,4,1,3,5,1,4,1,1,6,1,7,0,0,6.366666667,100.9230769,0,0.1875,0.5,0,0,0,10,1.702
4,5,6,1,0,0,3,4,3,5,6,3,3,5,1,0.25,0,4,4,2,2,3,2,6,2141,0,0,2,0,0,0,4,3,4,2,0,4,1,3,2,1,3,232,1,2,2,2,2,1,2,4,3,2,1,1,1,3,4,2,2,4,5,1,1,1,5,1,2,0,0,0,0,0,0,1,0,2,2,5,0,3,3,1,2,2,2,2,1,4,1,1,6,1,1,0,1,6.215,97.23076923,0,0.25,0,0,0,0,7.049,2.143
1,6,7,1,3,0,4,4,3,5,7,0,3,5,4,0.38,1,4,4,1,2,3,3,6,2039,0,0,1,0,0,0,2,1,3,0,0,2,1,3,3,1,1,128,3,2,0,0,0,1,2,4,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,0,0,0,6.063333333,93.53846154,0,0.3125,0,0,0,0,10,10
2,6,6,1,3,0,3,3,3,5,7,5,6,4,4,0.42,0,4,4,2,1,3,1,4,1677,2,0,1,0,0,0,4,4,3,0,0,1,1,1,2,4,1,0,3,4,1,3,1,1,2,4,1,2,1,1,1,2,3,1,2,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,5.911666667,89.84615385,0,0.375,0.5,0,0,0,5.449,6.039
2,4,5,4,0,0,4,2,2,4,6,4,2,5,4,0.04,0,4,4,2,1,3,3,3,1950,0,0,1,0,0,0,4,3,0,4,0,2,0,1,0,3,0,168,1,2,1,1,2,1,1,4,1,2,2,1,1,3,3,2,1,5,5,1,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3,1,1,4,2,2,5,1,4,1,0,5,1,7,0,0,5.76,86.15384615,0,0.4375,0.5,0,0,0,7.167,2.293
2,2,5,6,0,0,4,3,2,3,4,6,2,5,4,0.13,0,4,4,2,1,3,3,6,1903,0,0,1,1,1,0,3,1,3,0,0,1,0,3,4,1,3,160,1,1,0,0,0,1,2,3,1,1,1,1,1,1,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,5.608333333,82.46153846,0,0.5,0,0,0,0,10,1.281
3,5,5,6,3,0,4,3,2,4,4,4,2,5,4,0.096,0,4,4,1,1,3,3,6,2092,0,1,1,0,0.5,0,2,1,3,0,0,0,1,2,3,3,3,192,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,5.456666667,78.76923077,0,0.5625,0,0,0,0,10,1.587
4,5,7,1,0,0,5,3,2,4,3,3,3,5,4,0.14,0,4,4,2,1,3,1,6,2236,0,0,1,0,0,0,4,3,0,3,2,2,2,2,2,2,2,186,2,2,2,1,1,1,1,3,3,2,1,1,1,2,3,2,2,4,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,1,5,0,0,5,1,4,1,0,5,1,7,0,0,5.305,75.07692308,0,0.625,0,0,0,0,7.241,2.106
4,5,6,6,3,0,5,1,1,4,5,5,2,5,4,0.22,0,4,4,1,1,3,3,6,2192,0,1,1,0,0,0,4,1,3,0,0,0,0,2,3,3,3,192,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,5.153333333,71.38461538,0,0.6875,0,0,0,0,10,1.483
5,5,7,1,0,0,5,4,3,3,3,2,3,5,2,0.54,0,4,4,1,1,3,3,3,2272,0,0,1,0.5,0,0,2,3,0,3,2,2,2,2,1,2,2,232,1,2,2,1,2,1,2,4,3,1,1,2,1,3,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,1,1,4,2,3,5,1,4,1,1,6,1,7,0,0,5.001666667,67.69230769,0,0.75,0.333333333,0,0,0,5.333,2.412
1,6,7,1,3,0,4,4,3,5,7,6,6,4,4,0.45,0,4,4,4,1,3,3,4,1358,0,0,0,1,0,0,1,1,3,1,0,2,0,2,2,4,1,128,3,4,2,1,1,1,1,5,1,2,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,4.85,64,0,0.8125,0,0,0,0,10,0.917
1,5,6,7,3,0,3,4,2,5,7,5,4,5,4,0.24,0,4,4,2,1,3,3,4,1955,2,0,0,0,0,0,1,3,0,2,0,2,2,1,3,2,1,224,1,2,1,1,1,1,2,4,2,2,1,1,1,2,3,2,3,4,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,5,0,0,5,1,4,3,0,6,1,7,0,2,5.21,63.25,0,0.875,0,0,0,0,5.407,2.022
3,3,1,7,2,3,4,4,3,5,5,6,5,1,2,0.82,0,4,4,4,1,3,1,6,2183,2,0,0,0,0,0,2,1,3,1,0,2,0,3,2,2,1,160,2,1,0,0,0,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,1,5,0,0,1,1,4,1,1,6,1,7,0,1,5.57,62.5,0,0.9375,0,0,0,0,10,0.3
1,5,7,2,2,1,4,4,3,5,7,5,5,1,3,0.308,0,4,4,2,1,3,1,4,2079,2,0,0,0,0,0,4,2,0,2,0,4,0,2,3,1,2,224,3,1,0,0,0,1,1,4,3,2,1,1,1,3,3,2,3,4,5,1,2,3,4,0,0,0,0,0,0,0,0,0,1,1,1,4,0,3,3,2,5,0,0,5,6,4,1,0,6,1,7,0,0,5.94,61.75,0,1,0.666666667,0,0,0,5.626,6.132
4,5,7,1,3,0,5,5,3,4,4,3,6,5,4,0.71,0,4,4,1,1,3,1,4,1523,0,0,0,0,0,0,2,4,3,1,1,1,2,0,2,4,1,64,3,4,2,1,2,1,2,2,3,2,2,1,1,1,4,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,2,1,3,0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.31,61,0,0.833333333,0,0,0,0,5.298,6.075
4,5,7,1,3,2,4,2,2,5,3,4,5,2,2,0.5,0,4,4,2,2,3,2,2,2221,0,0,0,0,0,0,4,2,3,2,2,0,4,0,2,1,1,112,3,2,1,2,1,1,5,4,1,1,2,1,2,3,4,3,4,2,5,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,5,0,3,3,2,4,2,2,5,6,4,1,0,6,1,7,0,0,5.36,68.25,0,0.666666667,0.5,0,0,0,5.037,1.607
1,5,7,1,3,0,4,1,2,5,7,6,4,2,4,0.83,0,4,4,3,1,3,3,4,2043,0,0,0,0,0,0,4,2,0,2,1,2,2,2,3,2,3,224,1,2,2,1,2,1,3,5,1,2,1,1,1,2,4,3,3,2,4,2,2,2,3,0,0,0,0,0,0,0,0,0,0,2,2,5,1,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0,1,4.41,75.5,0,0.5,0,0,0,0,5.119,0.419
3,5,7,1,3,0,4,5,3,4,3,5,5,5,4,0.42,0,4,4,3,1,3,3,4,1854,2,0,0,0,0,0,2,3,0,1,1,2,2,2,2,2,3,192,3,2,2,1,2,1,3,4,3,2,1,2,1,3,3,3,2,4,5,2,2,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0,0,4.52,82.75,0,0.333333333,0,0,0,0,10,0.761
1,4,5,6,3,0,3,1,2,5,7,6,3,5,4,0.3,0,0,2,3,2,3,3,4,2283,0,0,0,0,0,0,4,1,0,1,0,1,0,2,3,3,3,128,3,2,4,2,1,1,1,5,1,2,1,1,1,1,3,2,1,5,1,1,0,1,1,0,0,5,0,0,0,0,0,0,0,5,0,0,1,3,3,1,4,2,1,4,1,4,1,1,5,1,7,0,0,4.43,90,0,0.166666667,0,0,0,0,10,10
1,4,7,1,0,0,3,5,3,1,7,5,6,4,4,0.52,0,0,0,3,1,3,3,4,1339,2,0,0,0,0,0,2,3,4,5,2,1,1,0,0,0,3,127,4,1,0,0,0,1,2,3,3,2,3,2,1,3,4,3,1,3,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,2,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.49,134,0,0,0,0,0,0,10,10
2,2,2,6,2,2,4,2,2,4,7,4,3,1,4,0.146,0,0,1,1,2,3,3,6,2139,2,0,0,0,0,0,3,1,0,1,0,3,0,4,0,5,2,128,3,1,0,0,0,1,1,4,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,4,1,2,2,1,4,3,1,5,1,7,0,1,6.7205,142.4,0,0,0,0,0,0,10,10
3,4,7,1,0,0,5,1,1,1,4,6,5,5,4,0.3,0,0,0,1,1,2,1,4,1608,2,0,0,0,0,0,4,3,0,6,1,1,0,0,0,0,1,42,4,1,0,0,0,1,1,4,3,2,1,1,1,2,4,2,2,5,5,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0,3,1,2,4,1,3,5,1,4,3,2,4,1,1,0,0,6.951,150.8,0,0,0,0,0,0,5.064,10
3,6,7,1,3,0,5,5,3,5,3,5,6,5,4,0.01,0,4,4,2,1,3,2,4,1426,2,0,0,0,0,0,2,4,3,0,0,0,0,0,3,4,3,168,4,4,3,1,2,1,2,2,2,2,2,2,1,2,4,3,3,2,3,2,2,2,5,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,6.02,159.2,0,0,0,0,0,0,6.265,1.381
1,5,7,2,1,1,5,4,3,6,7,5,5,3,2,0.04,0,4,4,2,1,2,2,5,1799,2,0,0,0,0,0,4,3,0,1,1,0,4,0,2,2,1,112,4,1,0,0,0,1,5,3,1,1,2,1,1,2,4,2,3,4,5,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0,3,3,2,5,0,0,4,1,4,1,1,6,1,7,0,1,6.47,167.6,0,0,0,0,0,0,6.083,6.772
1,5,7,2,3,0,4,2,2,3,7,4,6,5,4,0.57,1,4,4,2,2,2,3,5,1329,2,0,0,0,0,0,4,4,3,0,0,0,2,0,2,5,1,232,3,4,3,3,2,1,2,1,1,1,2,1,1,2,3,4,2,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,2,3,1,3,4,1,4,1,1,4,1,7,0,0,6.92,176,0,0,0.333333333,0,0,0,5.041,10
1,5,7,1,3,0,5,5,3,2,6,5,6,5,4,0.6,0,4,4,1,1,3,3,4,1418,0,0,0,0,0,0,2,4,3,1,0,1,0,1,2,4,1,232,3,4,2,2,2,1,2,3,3,2,1,1,1,2,3,4,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.17,33,0,0.111111111,0,0,0,0,4.717,6.167
1,5,7,4,3,1,4,4,3,5,7,4,6,2,4,0.0787,0,4,4,1,2,3,3,6,1670,2,0,0,0,0,0,4,2,0,2,0,4,0,0,3,2,2,224,2,2,1,1,1,1,1,5,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,2,5,0,0,4,6,4,1,1,6,1,7,0,0,4.9,45.5,0,0.222222222,0,0,0,0,10,2.018
1,5,7,1,3,0,4,5,3,5,7,5,6,1,4,0.58,0,4,4,4,1,3,3,4,1551,0,0,0,0,0,0,1,1,3,2,0,3,0,3,1,2,1,160,1,2,2,1,1,1,1,5,1,2,1,1,0,2,3,2,1,5,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.63,58,0,0.333333333,0,0,0,0,10,0.7
1,6,7,1,3,0,4,5,3,5,7,5,6,1,4,0.58,0,4,4,3,1,3,3,4,1551,0,0,0,0,0,0,2,1,3,1,0,1,0,3,0,3,2,128,4,3,1,1,1,1,1,5,1,1,1,1,1,2,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.53,51,0,0.444444444,0,0,0,0,10,0.628
1,1,6,4,3,1,5,4,3,5,7,5,2,1,2,0.1,0,4,4,3,1,3,1,6,1945,2,0,0,0,0,0,4,3,0,0,0,5,0,2,1,1,1,232,3,1,0,0,0,1,2,4,1,2,4,1,1,2,3,1,2,5,5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,2,4,0,3,3,1,4,2,1,5,1,4,1,1,6,1,1,0,1,3.89,88.75,0,0.555555556,0,0,0,0,7.478,1.06
1,4,5,6,3,0,3,1,1,4,7,5,1,5,4,0.03,0,4,4,3,3,3,1,6,2181,0,1,0,0,0,0,4,1,0,0,0,2,0,2,4,2,2,160,1,2,1,1,1,1,1,4,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,0,5,1,7,0,0,4.25,126.5,0,0.666666667,0.333333333,0,0,0,10,1.919
1,5,7,1,3,1,5,4,3,5,7,4,2,2,2,0.061,0,4,4,3,0,3,3,6,2038,2,1,0,0,0,0,3,1,0,3,0,2,0,2,3,0,3,224,2,1,0,0,0,1,1,4,2,2,1,1,1,2,4,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,4,1,4,1,1,6,1,7,0,1,4.61,164.25,0,0.777777778,0,0,0,0,10,1.06
1,5,6,2,3,1,4,3,3,3,7,4,6,2,2,0.469,0,4,4,3,1,2,2,5,2083,2,0,0,0,0,0,4,3,0,0,0,0,5,0,1,0,0,64,3,1,0,0,0,1,5,1,1,2,4,1,1,3,3,3,4,2,5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,4,0,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0,0,4.97,202,0,0.888888889,0.333333333,0,0,0,6.478,1.137
1,5,7,1,3,1,4,5,3,5,7,5,6,1,2,0.907,0,4,4,2,1,3,2,5,1669,1,0,0,0,0,0,2,2,3,3,0,1,0,0,4,0,3,232,1,1,0,0,0,1,1,4,1,1,2,1,1,3,3,1,2,5,5,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0,1,5.33,239.75,0,1,0,0,0,0,5.988,5.633
1,5,6,4,1,0,4,5,3,6,7,3,6,1,2,0.03,0,4,4,1,1,3,2,6,2026,2,0,0,0,0,0,2,1,0,1,0,2,1,2,4,1,1,232,3,1,0,0,0,1,1,4,3,2,1,1,1,3,3,1,2,5,5,1,1,1,5,1,1,0,0,0,0,0,0,2,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,5.69,277.5,0,1,0,0,0,0,10,1.642
1,5,7,4,2,2,4,5,3,5,6,6,6,1,2,0.47,0,4,4,1,1,3,2,6,2008,2,0,0,0,0,0,4,2,0,0,0,3,0,1,4,1,2,232,3,1,0,0,0,1,1,5,3,1,1,1,1,3,3,1,3,3,5,1,1,1,5,1,1,0,0,0,0,0,0,2,0,2,2,4,0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.05,315.25,0,1,0,0,0,0,7.477,1.275
1,4,7,1,0,0,3,2,2,4,7,6,5,4,4,0.26,0,4,4,1,1,2,3,4,2003,1,0,0,0,0,0,1,3,0,1,1,0,5,0,1,0,1,76,4,1,0,0,0,1,5,1,3,2,2,3,1,2,1,4,2,2,5,2,2,1,5,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,3,1,5,0,0,5,1,4,1,2,6,1,7,0,2,6.41,353,0,1,0,0,0,0,4.269,6.867
1,5,6,2,0,0,3,3,2,2,7,6,1,5,4,0.01,0,4,4,2,2,3,3,4,2194,2,0,0,0,0,0,4,3,0,1,1,1,4,1,1,1,1,64,3,1,0,0,0,1,5,4,2,2,3,2,2,3,3,4,3,2,5,2,2,2,4,0,0,0,0,0,0,0,0,0,1,1,2,5,0,2,3,1,5,0,0,5,1,4,1,0,6,1,7,0,0,5.02,230,0,1,0,0,0.023148148,0,5.029,6.797
1,5,7,4,2,1,4,4,3,4,7,6,6,1,2,0.0202,0,4,4,3,1,3,2,4,1883,2,0,0,0,0,0,4,3,0,2,2,0,3,0,2,0,2,240,2,1,0,0,0,1,4,2,1,2,3,2,1,3,2,4,2,3,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,0,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0,1,5.255,230,0,1,0,0,0.046296296,0,4.303,1.094
1,5,7,4,0,0,4,4,3,4,7,4,5,5,4,0.86,0,4,4,3,1,3,2,4,1911,0,0,0,0,0,0,4,3,0,4,2,2,2,1,1,1,3,254,3,1,0,0,0,1,3,3,3,2,2,2,1,3,2,3,1,4,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,5.49,230,0,1,0,0,0.069444445,0,10,0.394
1,4,6,4,0,0,3,1,2,1,7,0,6,5,4,0.1,0,4,4,3,1,2,3,4,2217,0,0,0,0,0,0,2,3,0,3,2,2,3,1,1,1,3,124,3,1,0,0,0,1,3,4,3,2,2,2,1,3,3,4,2,2,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,4,1,2,5,1,4,1,0,6,1,7,0,0,6.43,780,0,1,0.333333333,0,0.092592593,0,10,1.655
1,4,6,6,0,3,4,5,3,5,1,6,6,1,2,0.29,0,4,4,2,1,2,3,6,1735,2,0,0,0,0,0,2,2,4,0,0,0,2,0,4,3,1,64,3,1,0,0,0,1,1,4,2,2,1,1,1,2,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,3,1,5,0,0,5,1,4,3,1,6,1,7,0,1,5.53,471.5,0,1,0,0,0.115740741,0,7.444,1.564
1,5,6,6,2,2,4,5,3,5,4,5,5,3,4,0.111,0,4,4,1,1,3,2,4,1864,2,0,0,0,0,0,2,2,3,1,0,0,0,0,2,5,2,64,3,4,2,1,1,1,2,4,3,2,1,1,1,1,4,3,2,3,1,2,1,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,4,1,2,5,2,4,3,1,3,1,7,0,0,4.63,163,0,1,0.5,0,0.138888889,0,10,1.766
1,1,3,7,2,1,4,5,3,5,7,4,5,1,4,0.378,1,4,4,4,1,3,3,6,2175,0,0,0,0.058823529,0,0,3,1,3,1,0,2,0,3,0,2,3,160,3,2,1,1,1,1,1,5,1,2,1,2,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,4.47,186.5,0,1,0,0,0.162037037,0,10,10
1,5,7,1,3,0,4,4,3,6,7,5,5,5,4,0.76,0,4,4,3,1,3,3,4,1973,0,0,0,0.117647059,0,0,2,1,3,0,0,1,0,2,4,2,3,128,4,2,2,1,1,1,1,5,1,1,1,1,1,1,3,3,1,4,4,1,1,1,5,0,1,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.7,210,0,1,0,0,0.185185185,0,10,0.478
1,5,7,1,3,0,4,5,3,6,7,5,3,4,4,0.36,0,4,4,3,1,3,3,4,2166,0,0,0,0.176470588,0,0,4,1,3,1,0,2,2,3,3,3,3,168,1,2,3,1,2,1,2,5,1,2,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,4.03,208.3333333,0,1,0,0,0.208333334,0,10,0.811
